분류,제품번호,제품명,규격,적재패턴,박스단위,파렛트단위,포장,박스규격(mm),,,"박스무게
 (kg)",적재 방향 제한,"파손
 취약성"
,,,,,,,,가로,세로,높이,,,
썬키스트,74113,"썬키스트 제로 복숭아레몬 소다 600ml(PET,24입)",600ML,9박스*6단=54박스,24,1296,BOX,421,278,227,15.336,최상단 변경 가능,보통
썬키스트,74111,"썬키스트 제로 자두자몽 소다 600ml(PET,24입)",600ML,9박스*6단=54박스,24,1296,BOX,421,278,227,15.336,최상단 변경 가능,보통
인홍삼음료,70617,광동 진생강쌍화 100ml(50입),100ML,8박스*10단=80박스,50,4000,BOX,480,240,140,24,변경 불가,보통
인홍삼음료,70218,광동발효홍삼眞액(건기식),100ML,10박스*8단=80박스,50,4000,BOX,480,240,140,12,변경 불가,보통
인홍삼음료,70228,광동眞진홍삼골드(신),100ML,10박스*4단=40박스,100,4000,BOX,480,240,295,24,변경 불가,보통
인홍삼음료,70924,광동홍삼꿀D_100ml,100ML,10박스*4단=40박스,100,4000,BOX,480,245,295,24,변경 불가,보통
인홍삼음료,72268,발효홍삼골드(유통전용),100ML,10박스*8단=80박스,50,4000,BOX,480,240,140,12,변경 불가,보통
인홍삼음료,72265,산삼배양근진액(유통전용),100ML,10박스*8단=80박스,50,4000,BOX,480,240,140,12,변경 불가,보통
인홍삼음료,70865,광동홍삼진,120ML,10박스*4단=40박스,100,4000,BOX,480,240,295,26.3,변경 불가,보통
인홍삼음료,70925,광동홍삼꿀D_170ml,170ML,8박스*8단=64박스,40,2560,BOX,470,295,145,14.2,변경 불가,보통
인홍삼음료,72374,군납용_발효홍삼골드(중앙타프라생산),100ML,4박스*6단=24박스,60,"1,440",BOX,395,335,370,18.66,변경 불가,보통
인홍삼음료,72384,군납용_산삼배양근진액(중앙타프라생산),100ML,4박스*6단=24박스,60,"1,440",BOX,395,335,370,18.66,변경 불가,보통
인홍삼음료,72472,명절용_발효홍삼골드(중앙타프라생산),100ML,8박스*4단=32박스,70,"2,240",BOX,395,335,370,18.66,변경 불가,보통
인홍삼음료,72482,명절용_산삼배양근진액(중앙타프라생산),100ML,9박스*4단=36박스,60,"2,160",BOX,395,335,350,16.58,변경 불가,보통
인홍삼음료,72462,명절용_흑삼진프리미엄(중앙타프라생산),100ML,9박스*4단=36박스,60,"2,160",BOX,395,335,350,16.58,변경 불가,보통
일반제품,71123,광동가네스알파,100ML,10박스*8단=80박스,50,4000,BOX,480,240,140,12,변경 불가,보통
일반제품,71124,광동가네스알파(리뉴얼),100ML,10박스*8단=80박스,50,4000,BOX,480,240,140,12,변경 불가,보통
일반제품,71122,광동가네스알파플러스,100ML,10박스*8단=80박스,50,4000,BOX,480,240,140,12,변경 불가,보통
일반제품,70025,광동헛개파워(중앙타프라),100ML,8박스*10단=80박스,50,4000,BOX,480,240,140,12,변경 불가,보통
일반제품,70017,광동 헛개파워 스틱 망고맛(10입),20G,24박스*7단=168박스,100,16800,BOX,160,265,200,2.56,변경 불가,취약
일반제품,70016,광동 헛개파워 스틱 포도맛(10입),20G,24박스*7단=168박스,100,16800,BOX,160,265,200,2.56,변경 불가,취약
일반제품,70127,비타500젤리_급식용(21g),21G,8박스*10단=80박스,100,8000,BOX,390,360,280,6.96,변경 불가,취약
일반제품,70141,아이스웨일POP라임(24입),250ML,13박스*11단=143박스,24,3432,BOX,330,220,145,6.648,변경 불가,보통
일반제품,72257,비타500젤리(서주)_OEM,48G,8박스*10단=80박스,50,4000,BOX,505,275,175,2.72,변경 불가,취약
일반제품,70133,"아이스웨일 레몬라임(500ML, 하프트레이)",500ML,11박스*7단=77박스,20,1540,BOX,342,273,217,10,최상단 변경 가능,보통
일반제품,70134,"아이스웨일 샤인머스캣(500ML, 하프트레이)",500ML,11박스*7단=77박스,20,1540,BOX,342,273,217,10,최상단 변경 가능,보통
일반제품,70135,"아이스웨일 자몽(500ML, 하프트레이)",500ML,11박스*7단=77박스,20,1540,BOX,353,278,228,10,최상단 변경 가능,보통
일반제품,70132,"아이스웨일 플레인(500ML, 하프트레이)",500ML,11박스*7단=77박스,20,1540,BOX,342,273,217,10,최상단 변경 가능,보통
일반제품,70293,광동 위생천 스파클링 제로_튤립 (50입),75ML,10박스*10단=100박스,50,5000,BOX,4250,2155,1325,9.357,변경 불가,보통
일반제품,70289,광동위생천(신병)_11형,75ML,10박스*5단=50박스,100,5000,BOX,435,220,265,20,변경 불가,보통
일반제품,77500,솔표위청수골드액,75ML,15박스*4단=60박스,100,6000,BOX,435,220,265,20,변경 불가,보통
일반제품,72256,비타500젤리(27g*35입)_OEM,945G,4박스*8단=32박스,4,128,BOX,500,500,200,5.47,변경 불가,취약
일반제품,70782,광동)타우린2000,120ML,10박스*4단=40박스,100,4000,BOX,480,240,295,26.3,변경 불가,보통
전통음료,70393,광동복분자(신병),100ML,10박스*4단=40박스,100,4000,BOX,480,240,295,24,변경 불가,보통
전통음료,70390,광동복분자(40입),170ML,8박스*8단=64박스,40,2560,BOX,470,295,155,14.2,변경 불가,보통
차음료,70105,광동 진한 헛개차1.25L,1.25L,13박스*5단=65박스,12,780,BOX,328,244,286,15.576,최상단 변경 가능,보통
차음료,70850,광동옥수수수염차1.25L,1.25L,13박스*5단=65박스,12,780,BOX,328,244,286,15.576,최상단 변경 가능,보통
차음료,70106,(6팩x2입)광동 진한 헛개차1.5L,1.5L,13박스*4단=52박스,12,624,BOX,330,250,315,19,최상단 변경 가능,보통
차음료,70855,(6팩x2입)광동옥수수수염차1.5L,1.5L,13박스*4단=52박스,12,624,BOX,330,250,315,19,최상단 변경 가능,보통
차음료,70838,(무라벨) 광동옥수수수염차1.5L(6입x2),1.5L,13박스*4단=52박스,12,624,BOX,330,250,315,19,최상단 변경 가능,보통
차음료,70194,(무라벨) 광동헛개차1.5L,1.5L,13박스*4단=52박스,12,624,BOX,330,250,315,19,최상단 변경 가능,보통
차음료,70199,(무라벨) 광동헛개차1.5L_레드,1.5L,13박스*4단=52박스,12,624,BOX,330,250,315,19,최상단 변경 가능,보통
차음료,70942,(무라벨)광동 밀싹보리차1.5L,1.5L,13박스*4단=52박스,12,624,BOX,334,249,317,19,최상단 변경 가능,보통
차음료,70856,(무라벨)옥수수수염차1.5L(12입),1.5L,13박스*4단=52박스,12,624,BOX,330,250,315,19,최상단 변경 가능,보통
차음료,70859,(무라벨)옥수수수염차1.5L(12입_그린,1.5L,13박스*4단=52박스,12,624,BOX,330,250,315,19,최상단 변경 가능,보통
차음료,70204,광동 진한 헛개차1.5L(11형),1.5L,13박스*4단=52박스,12,624,BOX,330,250,315,19,최상단 변경 가능,보통
차음료,71945,광동돼지감자차1.5L(11형),1.5L,13박스*4단=52박스,12,624,BOX,330,250,315,19.06,최상단 변경 가능,보통
차음료,70967,광동밀싹보리차1.5L(11형),1.5L,13박스*4단=52박스,12,624,BOX,330,250,315,19,최상단 변경 가능,보통
차음료,70876,광동옥수수수염차1.5L(11형),1.5L,13박스*4단=52박스,12,624,BOX,330,250,315,19,최상단 변경 가능,보통
차음료,70481,(캔)광동옥수수수염차180ml(30입),180ML,12박스*14단=168박스,30,5040,BOX,325,270,110,5.9,변경 불가,보통
차음료,70200,광동 우롱차 180ml(캔_바른),180ML,12박스*12단=144박스,30,4320,BOX,325,270,110,5.9,변경 불가,보통
차음료,70193,광동 진한 헛개차180ml(캔)-퓨럽,180ML,11박스*14단=154박스,30,4620,BOX,325,270,110,5.9,변경 불가,보통
차음료,77761,꼬소꼬미 밀크맛200ml_20입(PET),200ML,16박스*10단=160박스,20,3200,BOX,304,241,142,4.36,최상단 변경 가능,보통
차음료,77755,꼬소꼬미 보리차200ml_20입(PET),200ML,16박스*10단=160박스,20,3200,BOX,304,241,142,4.36,최상단 변경 가능,보통
차음료,77762,꼬소꼬미 사과맛200ml_20입(PET),200ML,16박스*10단=160박스,20,3200,BOX,304,241,142,4.36,최상단 변경 가능,보통
차음료,77756,꼬소꼬미 옥수수차200ml_20입(PET),200ML,16박스*10단=160박스,20,3200,BOX,304,241,142,4.36,최상단 변경 가능,보통
